name,variant,nodes,edges,controversial,single_hashtag,density,clustering_coefficient,modularity,assortativity,mean_degree,embedding_dimension
SOCIALSECURITY,p3,3597,5781,0,0,0.0004469334382285572,0.03650362498915808,0.7318976524239511,0.782942593834072,3.2143452877397833,398
politiikka,p1,4134,6763,1,1,0.0003958252637771832,0.02060028307111264,0.687536267575556,0.7368007300282362,3.2718916303821963,134
politiikka,p2,3542,5705,1,1,0.00045486357999403935,0.015416570442613032,0.6684399265370644,0.7295048141508516,3.2213438735177866,154
politiikka,p3,3253,5206,1,1,0.0004921183549370077,0.026835745110822838,0.688651713816426,0.7658680385220875,3.2007377805102983,166
perussuomalaiset,p1,1295,3081,1,1,0.0018386016840421786,0.04646064041610909,0.4641200620148767,0.5253409711507044,4.758301158301158,64
perussuomalaiset,p2,1187,1951,1,1,0.0013858679824006843,0.015995001544971646,0.6214973146549719,0.6982507632839745,3.287278854254423,49
perussuomalaiset,p3,828,1119,1,1,0.0016341587368347266,0.022966044566097042,0.7115131360903271,0.8032654305070444,2.7028985507246377,39
poliisi,p1,1429,1999,0,1,0.0009796080783608056,0.043291095535095185,0.7033842083623102,0.7628949644802373,2.7977606717984607,53
poliisi,p2,1752,2201,0,1,0.000717463471623521,0.041820428624782406,0.7177318723202311,0.8139873141830279,2.5125570776255706,13
poliisi,p3,1605,2203,0,1,0.0008557267267967154,0.04922601956330892,0.7040459209566289,0.7689653154734577,2.745171339563863,54
metsä,p2,944,1292,0,1,0.0014513722882254615,0.029216202045949425,0.707813743062811,0.794870966873873,2.73728813559322,73
metsä,p3,920,1205,0,1,0.0014252259071769883,0.014372785804250455,0.7422723437957336,0.8120638953371412,2.619565217391304,112
persut,p2,893,1290,1,1,0.001619471826211842,0.02415581049373884,0.6521230695270717,0.707971148752502,2.889137737961926,34
persut,p3,1167,1767,1,1,0.0012985753151635675,0.02515839422682591,0.625038233168038,0.6896548068397585,3.0282776349614395,32
NATIONAL,p1,2703,6932,1,0,0.0009491331971247782,0.08598854285778218,0.5827967271880928,0.7695214789631046,5.129115797262301,166
NATIONAL,p2,1466,2789,1,0,0.0012986045472111896,0.07817547544860066,0.6053937503029175,0.7245159168109571,3.8049113233287857,71
NATIONAL,p3,877,1393,1,0,0.0018132071247455262,0.04734008008599519,0.6531890299616223,0.7520440494131887,3.176738882554162,55
turku,p1,2591,3217,0,1,0.0004793843852122509,0.032273454550387215,0.8051816928040719,0.8576285993083517,2.4832111153994596,232
turku,p2,2149,2622,0,1,0.0005680178646167764,0.027611376979653417,0.7867046193070313,0.8335178316620091,2.4402047463936714,197
turku,p3,2994,3561,0,1,0.0003973868217557735,0.02139979282728695,0.8082213937204359,0.850979119653352,2.37875751503006,175
