name,decreasing_or_stable,variants,controversial,nodes,edges,density,modularity,embedding_dimension,assortativity,clustering_coefficient,mean_degree,embedding_dimension_slope,controversial_numbers
rasismi,False,p1;p3,True,1264;1221,1888;2139,0.0011826372811369;0.0014359366818383,0.678688213695777;0.5822760851096568,50;56,0.7549139960968875;0.6340014293054255,0.0227437380301514;0.0282316069090235,2.9873417721518987;3.5036855036855035,5.999999999999989,1
sak,True,p1;p2;p3,False,1360;1350;1066,1871;1594;1156,0.0010123144180409;0.0008752711198967;0.0010182420350747,0.6986409060512061;0.8047193915703336;0.7734731384921157,34;30;6,0.7670402618427978;0.8897152698787609;0.889567067377205,0.0204866605266221;0.0148984843628543;0.0075932324460439,2.751470588235294;2.3614814814814813;2.168855534709193,-13.999999999999996,2
sananvapaus,True,p2;p3,True,1084;1235,1422;1478,0.0012112725005366;0.0009698226366314,0.7638189115783518;0.7685567850348183,69;36,0.8354036695957517;0.8632142893868191,0.0127013415826505;0.004408447120925,2.623616236162362;2.3935222672064778,-33.00000000000001,1
suomi,False,p1;p2;p3,False,5209;5029;7180,5618;5196;7795,0.0002070887000196;0.0002054907313239;0.0001512264376793,0.8708756791886325;0.8982190658889025;0.8690275710857234,76;41;56,0.9314622471685918;0.9369623008019928;0.9222607808390628,0.0054199083728589;0.0027453722704316;0.0040922156663516,2.1570358994048764;2.066414794193677;2.171309192200557,-9.999999999999998,2
talous,True,p1;p2;p3,False,1790;1571;1573,2118;1747;1934,0.0006613975536409;0.0007082997157881;0.0007821232665091,0.8484492826895864;0.8445764740536479;0.8065876617092063,242;210;139,0.8826138649127919;0.8790568892090022;0.8510589981627165,0.0253112184356604;0.0150914889203131;0.023849420210978,2.3664804469273744;2.224061107574793;2.4589955499046408,-51.49999999999995,2
tasaarvo,False,p1;p2;p3,False,3110;1724;2673,4043;2177;3666,0.0004181408813123;0.0007328850962749;0.0005132831979139,0.775242448403873;0.7590325550304695;0.732209456919559,276;81;106,0.8167985187787337;0.7996529129283598;0.7969289885078807,0.0209361671662455;0.0234705334792092;0.0233997821576631,2.6;2.5255220417633413;2.7429854096520763,-85.0,2
translaki,False,p1;p2,True,2087;990,2377;1467,0.0005459997307902;0.0014982994760547,0.4570516885543675;0.6422471375486795,1;34,0.8277979601891651;0.6841363587316454,0.0101349253873565;0.0258630743887795,2.277910876856732;2.963636363636364,32.99999999999999,1
turku,True,p1;p2;p3,False,2591;2149;2994,3217;2622;3561,0.0004793843852122;0.0005680178646167;0.0003973868217557,0.8051816928040719;0.7867046193070313;0.8082213937204359,232;197;175,0.8576285993083517;0.8335178316620091;0.850979119653352,0.0322734545503872;0.0276113769796534;0.0213997928272869,2.48321111539946;2.440204746393672;2.37875751503006,-28.499999999999986,2
turpo,True,p1;p2;p3,False,1988;1481;1861,3794;2375;3005,0.0009604683966911;0.0010835447196014;0.0008681307887423,0.5767816120061946;0.6272026592797784;0.6144527839070213,123;56;53,0.6296732640017038;0.6872125740448111;0.6553597470654219,0.0447257923035803;0.0351430650329945;0.0331061014287954,3.816901408450704;3.2072923700202565;3.22944653412144,-34.999999999999986,2
turvallisuus,False,p1;p2;p3,False,1797;1104;1136,1983;1118;1244,0.0006144241887927;0.0009181152850591;0.0009648197555376,0.8441930387110408;0.8880763950448187;0.8534799836643542,191;129;148,0.9048666541824052;0.9219961127630945;0.8976942395068356,0.0093607976054636;0.0101771021900589;0.0159978471024083,2.2070116861435727;2.02536231884058;2.1901408450704225,-21.49999999999998,2
tutkimus,False,p1;p2;p3,False,1941;1779;1580,2263;2161;1722,0.0006009762212059;0.0006831987485544;0.000690230156885,0.8331363405503704;0.7907604860981589;0.8556185512079113,268;176;201,0.8666904195939711;0.8316165202302896;0.8927516567872859,0.0280148295382324;0.0287016383895876;0.017305121494249,2.3317877382792376;2.429454749859472;2.179746835443038,-33.50000000000001,2
työelämä,False,p1;p2;p3,False,2942;2374;2931,3942;3016;3903,0.0004555949767591;0.0005353685860056;0.0004544803518467,0.7583999576816657;0.7691015952057638;0.7510238187657142,272;217;242,0.799872251779241;0.8063693304304117;0.786859711402659,0.0273895445183821;0.0187768449351723;0.0283389571788253,2.679809653297077;2.5408593091828138;2.663254861821904,-14.999999999999963,2
työllisyys,False,p1;p2;p3,True,1383;974;1208,1761;1115;1573,0.0009213595311268;0.0011765301750972;0.0010788337347811,0.8115539509745024;0.8373858312051319;0.7739868061199622,142;135;137,0.8692330646949479;0.8786093945956348;0.8257014114675649,0.0278095982588294;0.0226159138081965;0.0280915116242045,2.546637744034707;2.2895277207392195;2.604304635761589,-2.4999999999999853,1
vaalit,True,p1;p2,True,5132;1936,8119;2059,0.0003083286483379;0.0005496294872616,0.7455605292143996;0.8669615455288041,311;104,0.8161032588764304;0.9111825200130996,0.0245235924675426;0.0087999202892603,3.1640685892439597;2.1270661157024797,-206.99999999999997,1
vaalit2019,True,p1;p2,True,19263;6935,70106;10178,0.0001889425991542;0.0002116567600295,0.5791990581828467;0.742449934494742,793;289,0.6985462983486315;0.7940452910437118,0.0589151538242694;0.0153208315394799,7.278824689819862;2.9352559480894014,-503.99999999999994,1
vasemmisto,True,p1;p2,True,1070;692,2186;1121,0.0019111231564131;0.0023443447127811,0.5386111318052416;0.6171961602398776,78;49,0.59243313043148;0.6851101343377455,0.0506641862078824;0.040915365281261,4.085981308411215;3.239884393063584,-29.0,1
viestintä,False,p1;p2;p3,False,2408;2153;1965,2951;2576;2579,0.0005091393181846;0.0005559805026961;0.0006682628275887,0.8071829719370984;0.820667695835423;0.7739730074432726,330;265;271,0.8405079440998431;0.8590026971567307;0.8323656400963744,0.0230256013527468;0.0200113239186714;0.0347197246947434,2.450996677740864;2.392940083604273;2.624936386768448,-29.500000000000025,2
vihreät,False,p1;p2;p3,True,2129;1429;1755,4192;2481;3834,0.0009252817341616;0.0012158117270701;0.0012455047802824,0.5817023906860032;0.6195971284218749;0.578830816386563,110;78;92,0.6561277464122365;0.7034624161583847;0.6804893700878082,0.0648362315313679;0.0560474780908049;0.0609725495218115,3.937999060591827;3.4723582925122463;4.369230769230769,-8.99999999999998,1
